geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
01208,-23.5386605,-46.6389820,sao paulo,SP
01209,-23.5406953,-46.6415829,sao paulo,SP
01210,-23.5400393,-46.6420913,sao paulo,SP
01211,-23.5375766,-46.6488379,sao paulo,SP
01212,-23.5382685,-46.6394226,sao paulo,SP
01213,-23.5365015,-46.6403612,sao paulo,SP
01214,-23.5388425,-46.6452305,sao paulo,SP
01215,-23.5361674,-46.6475419,sao paulo,SP
01216,-23.5331276,-46.6478338,sao paulo,SP
01217,-23.5326576,-46.6488840,sao paulo,SP
01218,-23.5312498,-46.6483251,sao paulo,SP
01219,-23.5412888,-46.6456986,sao paulo,SP
01220,-23.5445140,-46.6460399,sao paulo,SP
01221,-23.5448677,-46.6482817,sao paulo,SP
01222,-23.5459445,-46.6493694,sao paulo,SP
01223,-23.5440881,-46.6485821,sao paulo,SP
01224,-23.5417787,-46.6524223,sao paulo,SP
01225,-23.5397860,-46.6491388,sao paulo,SP
01226,-23.5380101,-46.6527193,sao paulo,SP
01227,-23.5462019,-46.6583846,sao paulo,SP
01228,-23.5451894,-46.6576109,sao paulo,SP
01229,-23.5389016,-46.6572911,sao paulo,SP
01230,-23.5363104,-46.6571120,sao paulo,SP
01231,-23.5369504,-46.6592559,sao paulo,SP
01232,-23.5364280,-46.6574260,sao paulo,SP
01233,-23.5362465,-46.6616652,sao paulo,SP
01234,-23.5396896,-46.6642440,sao paulo,SP
01235,-23.5367143,-46.6646663,sao paulo,SP
01236,-23.5435502,-46.6674194,sao paulo,SP
01237,-23.5432345,-46.6687244,sao paulo,SP
01238,-23.5425714,-46.6542433,sao paulo,SP
01239,-23.5430953,-46.6310592,sao paulo,SP
01240,-23.5437918,-46.6585440,sao paulo,SP
01241,-23.5455248,-46.6578402,sao paulo,SP
01242,-23.5465069,-46.6585017,sao paulo,SP
01243,-23.5481203,-46.6591918,sao paulo,SP
01244,-23.5620491,-46.6595903,sao paulo,SP
01245,-23.5494755,-46.6638211,sao paulo,SP
01246,-23.5534813,-46.6663185,sao paulo,SP
01247,-23.5506381,-46.6686558,sao paulo,SP
01248,-23.5479125,-46.6680263,sao paulo,SP
01249,-23.5484199,-46.6712204,sao paulo,SP
01250,-23.5476405,-46.6719726,sao paulo,SP
01251,-23.5483745,-46.6748465,sao paulo,SP
01252,-23.5417540,-46.6789340,sao paulo,SP
01253,-23.5449291,-46.6791647,sao paulo,SP
01254,-23.5433374,-46.6808524,sao paulo,SP
01255,-23.5463698,-46.6815417,sao paulo,SP
01256,-23.5477733,-46.6828383,são paulo,SP
01257,-23.5436098,-46.6878386,sao paulo,SP
01258,-23.5440370,-46.6868509,sao paulo,SP
01259,-23.5414186,-46.6853039,sao paulo,SP
01262,-23.5508564,-46.6773518,sao paulo,SP
01290,-23.5409613,-46.6577487,são paulo,SP
01301,-23.5493290,-46.6508901,sao paulo,SP
01302,-23.5490029,-46.6495523,sao paulo,SP
01303,-23.5495057,-46.6484325,sao paulo,SP
01304,-23.5540564,-46.6552024,sao paulo,SP
01305,-23.5526227,-46.6525383,sao paulo,SP
01306,-23.5537852,-46.6496051,sao paulo,SP
01307,-23.5527780,-46.6532077,sao paulo,SP
01308,-23.5559814,-46.6533111,sao paulo,SP
01309,-23.5554931,-46.6584522,sao paulo,SP
01310,-23.5616529,-46.6560213,sao paulo,SP
01311,-23.5645046,-46.6527927,sao paulo,SP
01312,-23.5547939,-46.6496149,sao paulo,SP
01313,-23.5561117,-46.6505738,sao paulo,SP
01314,-23.5526407,-46.6452044,sao paulo,SP
01315,-23.5540900,-46.6403891,sao paulo,SP
01316,-23.5529548,-46.6394328,sao paulo,SP
01317,-23.5562382,-46.6400599,sao paulo,SP
01318,-23.5594480,-46.6424127,sao paulo,SP
01319,-23.5518817,-46.6407280,sao paulo,SP
01320,-23.5579551,-46.6393474,sao paulo,SP
01321,-23.5621286,-46.6419185,sao paulo,SP
01322,-23.5631717,-46.6434561,sao paulo,SP
01323,-23.5657348,-46.6414781,sao paulo,SP
01324,-23.5552147,-46.6431507,sao paulo,SP
01325,-23.5573902,-46.6444583,sao paulo,SP
01326,-23.5565390,-46.6454396,sao paulo,SP
01327,-23.5651134,-46.6449446,sao paulo,SP
01328,-23.5559927,-46.6467948,sao paulo,SP
01329,-23.5619775,-46.6472811,sao paulo,SP
01330,-23.5590379,-46.6494588,sao paulo,SP
01331,-23.5626644,-46.6499967,sao paulo,SP
01332,-23.5595686,-46.6524516,sao paulo,SP
01333,-23.5664351,-46.6475636,sao paulo,SP
01401,-23.5758073,-46.6586546,sao paulo,SP
01402,-23.5748374,-46.6573920,sao paulo,SP
01403,-23.5687550,-46.6534094,sao paulo,SP
01404,-23.5685447,-46.6557803,sao paulo,SP
01405,-23.5647626,-46.6551384,sao paulo,SP
01406,-23.5748143,-46.6702993,sao paulo,SP
01407,-23.5761119,-46.6713921,sao paulo,SP
01408,-23.5671119,-46.6608134,sao paulo,SP
01409,-23.5614608,-46.6582620,sao paulo,SP
01410,-23.5628314,-46.6609252,sao paulo,SP
01411,-23.5642479,-46.6640596,sao paulo,SP
01412,-23.5636516,-46.6660241,sao paulo,SP
01413,-23.5618145,-46.6640340,sao paulo,SP
01414,-23.5596235,-46.6634965,sao paulo,SP
01415,-23.5560917,-46.6604622,sao paulo,SP
01416,-23.5606929,-46.6676885,sao paulo,SP
01417,-23.5527789,-46.6339319,sao paulo,SP
01418,-23.5641161,-46.6552724,sao paulo,SP
01419,-23.5635416,-46.6559496,sao paulo,SP
01420,-23.5634355,-46.6579160,sao paulo,SP
01421,-23.5632993,-46.6601537,sao paulo,SP
01422,-23.5639619,-46.6611324,sao paulo,SP
01423,-23.5691451,-46.6573477,sao paulo,SP
01424,-23.5680415,-46.6613988,sao paulo,SP
01425,-23.5728985,-46.6592474,sao paulo,SP
01426,-23.5658604,-46.6660317,sao paulo,SP
01427,-23.5710448,-46.6640686,sao paulo,SP
01428,-23.5739389,-46.6623263,sao paulo,SP
01429,-23.5763845,-46.6629000,sao paulo,SP
01430,-23.6561401,-46.6625020,sao paulo,SP
01431,-23.6203888,-46.6647682,sao paulo,SP
01432,-23.5764859,-46.6657861,sao paulo,SP
01433,-23.5784075,-46.6683730,sao paulo,SP
01434,-23.5746465,-46.6723774,sao paulo,SP
01435,-23.5793218,-46.6701787,sao paulo,SP
01436,-23.5724554,-46.6679887,sao paulo,SP
01437,-23.5721413,-46.6715033,sao paulo,SP
01438,-23.5698037,-46.6722649,sao paulo,SP
01439,-23.5662895,-46.6735714,sao paulo,SP
01440,-23.5682895,-46.6781702,sao paulo,SP
01441,-23.5706039,-46.6837321,sao paulo,SP
01442,-23.5665307,-46.6786161,sao paulo,SP
01443,-23.5682689,-46.6845079,sao paulo,SP
01444,-23.5732355,-46.6875270,sao paulo,SP
01445,-23.5710380,-46.6880680,sao paulo,SP
01446,-23.5755838,-46.6754989,sao paulo,SP
01447,-23.5727868,-46.6788856,sao paulo,SP
01448,-23.5782379,-46.6798227,sao paulo,SP
01449,-23.5761169,-46.6799567,sao paulo,SP
01450,-23.5764532,-46.6851851,sao paulo,SP
01451,-23.5774360,-46.6869898,sao paulo,SP
01452,-23.5749964,-46.6888794,sao paulo,SP
01453,-23.5840590,-46.6863761,sao paulo,SP
01454,-23.5823770,-46.6867028,sao paulo,SP
01455,-23.5805541,-46.6911214,sao paulo,SP
01456,-23.5768398,-46.6909872,sao paulo,SP
01457,-23.5752378,-46.6927035,sao paulo,SP
01472,-23.5705437,-46.6912967,sao paulo,SP
01489,-23.5766500,-46.6874000,sao paulo,SP
01501,-23.5524694,-46.6354854,sao paulo,SP
01502,-23.5546059,-46.6354926,sao paulo,SP
01503,-23.5577090,-46.6367694,sao paulo,SP
01504,-23.5668606,-46.6395053,sao paulo,SP
01505,-23.5552676,-46.6318248,sao paulo,SP
01506,-23.5595587,-46.6350322,sao paulo,SP
01507,-23.5581464,-46.6317659,sao paulo,SP
01508,-23.5614236,-46.6358301,sao paulo,SP
01509,-23.5670101,-46.6357981,sao paulo,SP
01510,-23.5576022,-46.6336153,sao paulo,SP
01511,-23.5614568,-46.6329479,sao paulo,SP
01512,-23.5537172,-46.6294991,sao paulo,SP
01513,-23.5489144,-46.6038446,sao paulo,SP
01514,-23.5543778,-46.6283378,sao paulo,SP
01516,-23.5590732,-46.6154800,sao paulo,SP
01517,-23.5596133,-46.6240035,sao paulo,SP
01518,-23.5592093,-46.6231869,sao paulo,SP
01519,-23.5609264,-46.6247571,sao paulo,SP
01520,-23.5593783,-46.6201640,sao paulo,SP
01521,-23.5611744,-46.6215090,sao paulo,SP
01522,-23.5599203,-46.6159819,sao paulo,SP
01523,-23.5642035,-46.6168971,sao paulo,SP
01524,-23.5677833,-46.6134005,sao paulo,SP
01525,-23.5640290,-46.6349539,sao paulo,SP
01526,-23.5659523,-46.6309439,sao paulo,SP
01527,-23.5624392,-46.6291922,sao paulo,SP
01528,-23.5647700,-46.6271659,sao paulo,SP
01529,-23.5684392,-46.6345555,sao paulo,SP
01530,-23.5689445,-46.6300892,sao paulo,SP
01531,-23.5707606,-46.6324252,sao paulo,SP
01532,-23.5705342,-46.6361119,sao paulo,SP
01533,-23.5711681,-46.6383645,sao paulo,SP
01534,-23.5675436,-46.6260851,sao paulo,SP
01535,-23.5724332,-46.6252414,sao paulo,SP
01536,-23.5690321,-46.6234363,sao paulo,SP
01537,-23.5744228,-46.6231373,sao paulo,SP
01538,-23.5763128,-46.6236293,sao paulo,SP
01539,-23.5711529,-46.6204360,sao paulo,SP
01540,-23.5658513,-46.6225815,sao paulo,SP
01541,-23.5692527,-46.6186170,sao paulo,SP
01542,-23.5710658,-46.6240601,sao paulo,SP
01543,-23.5737210,-46.6238718,sao paulo,SP
01544,-23.5772554,-46.6216317,sao paulo,SP
01545,-23.5809741,-46.6183103,sao paulo,SP
01546,-23.5790393,-46.6219557,sao paulo,SP
01547,-23.5829940,-46.6211268,sao paulo,SP
01548,-23.5769271,-46.6134208,sao paulo,SP
01549,-23.5763175,-46.6155867,sao paulo,SP
01550,-23.5730566,-46.6161505,sao paulo,SP
01551,-23.5727379,-46.6126801,sao paulo,SP
01552,-23.5694907,-46.6113218,sao paulo,SP
01553,-23.5744879,-46.6091981,sao paulo,SP
02009,-23.5157991,-46.6411391,sao paulo,SP
02010,-23.5105616,-46.6263550,sao paulo,SP
02011,-23.5043850,-46.6266210,sao paulo,SP
02012,-23.5130660,-46.6319682,sao paulo,SP
02013,-23.5022062,-46.6331145,sao paulo,SP
02016,-23.5039848,-46.6256722,sao paulo,SP
02017,-23.5007429,-46.6346946,sao paulo,SP
02018,-23.4957037,-46.6297069,sao paulo,SP
02019,-23.4982631,-46.6296516,sao paulo,SP
02020,-23.4964686,-46.6332928,sao paulo,SP
02021,-23.4983091,-46.6358859,sao paulo,SP
02022,-23.5040739,-46.6376709,sao paulo,SP
02028,-23.5087025,-46.6183369,sao paulo,SP
02029,-23.5093621,-46.6193436,sao paulo,SP
02030,-23.5058713,-46.6246826,sao paulo,SP
02031,-23.5100627,-46.6257782,sao paulo,SP
02032,-23.5110683,-46.6238498,sao paulo,SP
02033,-23.4999005,-46.6150500,sao paulo,SP
02034,-23.5040729,-46.6241442,sao paulo,SP
02035,-23.4962113,-46.6228250,sao paulo,SP
02036,-23.5017443,-46.6208029,sao paulo,SP
02037,-23.4997182,-46.6205550,sao paulo,SP
02038,-23.4952375,-46.6241623,sao paulo,SP
02039,-23.4930251,-46.6216035,sao paulo,SP
02040,-23.4896600,-46.6225717,sao paulo,SP
02041,-23.4906265,-46.6230798,sao paulo,SP
02042,-23.4942339,-46.6163772,sao paulo,SP
02043,-23.4899434,-46.6161245,sao paulo,SP
02044,-23.4957247,-46.6187880,sao paulo,SP
02045,-23.4961465,-46.6164029,sao paulo,SP
02046,-23.4922805,-46.6117694,sao paulo,SP
02047,-23.5172156,-46.6186740,sao paulo,SP
02049,-23.5141666,-46.6173656,sao paulo,SP
02050,-23.5173442,-46.6121352,sao paulo,SP
02051,-23.5099883,-46.6077644,sao paulo,SP
02052,-23.5129745,-46.6077838,sao paulo,SP
02053,-23.5132276,-46.6027927,sao paulo,SP
02054,-23.5171955,-46.6066992,sao paulo,SP
02055,-23.5140297,-46.6071262,sao paulo,SP
02056,-23.5123021,-46.6027881,sao paulo,SP
02060,-23.5190052,-46.6028609,sao paulo,SP
02064,-23.5176770,-46.5979646,sao paulo,SP
02065,-23.5077112,-46.6053693,sao paulo,SP
02066,-23.5086433,-46.6052957,sao paulo,SP
02067,-23.5067203,-46.6036534,sao paulo,SP
02068,-23.5051325,-46.6123753,sao paulo,SP
02069,-23.5055343,-46.6139277,sao paulo,SP
02071,-23.5042788,-46.6064277,sao paulo,SP
02072,-23.5001649,-46.6040553,sao paulo,SP
02073,-23.5018320,-46.6071339,sao paulo,SP
02074,-23.5052199,-46.6004475,sao paulo,SP
02075,-23.5054542,-46.6023270,sao paulo,SP
02076,-23.5046605,-46.5990985,sao paulo,SP
02077,-23.5023162,-46.5972944,sao paulo,SP
02078,-23.5022482,-46.5956097,sao paulo,SP
02079,-23.4992877,-46.6057851,sao paulo,SP
02080,-23.4976704,-46.6053616,sao paulo,SP
02081,-23.4958413,-46.6046993,sao paulo,SP
02082,-23.4945971,-46.6071668,sao paulo,SP
02083,-23.4953215,-46.5979356,sao paulo,SP
02084,-23.4972752,-46.5997431,sao paulo,SP
02085,-23.4979527,-46.6129677,sao paulo,SP
02088,-23.5042403,-46.6207421,sao paulo,SP
02089,-23.5170945,-46.6166731,sao paulo,SP
02110,-23.5190975,-46.5955389,sao paulo,SP
02111,-23.5176430,-46.5927569,sao paulo,SP
02112,-23.5174486,-46.5904512,sao paulo,SP
02113,-23.5177205,-46.5892266,sao paulo,SP
02114,-23.5223179,-46.5906148,sao paulo,SP
02115,-23.5265896,-46.5916927,sao paulo,SP
02116,-23.5201107,-46.5852400,sao paulo,SP
02117,-23.5186550,-46.5936598,sao paulo,SP
02118,-23.5150065,-46.5927746,sao paulo,SP
02119,-23.5122078,-46.5926390,sao paulo,SP
02120,-23.5108244,-46.5938858,sao paulo,SP
02121,-23.5122291,-46.5896833,sao paulo,SP
02122,-23.5119661,-46.5838644,sao paulo,SP
02123,-23.5118381,-46.5794425,sao paulo,SP
02124,-23.5069769,-46.5771209,sao paulo,SP
02125,-23.5098400,-46.5868034,sao paulo,SP
02126,-23.5068980,-46.5917511,sao paulo,SP
02127,-23.5055980,-46.5872657,sao paulo,SP
02128,-23.5050195,-46.5939426,sao paulo,SP
02129,-23.5037191,-46.5882910,sao paulo,SP
02130,-23.5084675,-46.5835637,sao paulo,SP
02131,-23.5043288,-46.5825095,sao paulo,SP
02132,-23.5013209,-46.5776566,sao paulo,SP
02133,-23.4990812,-46.5847248,sao paulo,SP
02134,-23.4986133,-46.5797857,sao paulo,SP
02135,-23.4979322,-46.5846123,sao paulo,SP
02136,-23.4987543,-46.5823773,sao paulo,SP
02137,-23.4979533,-46.5761187,sao paulo,SP
02138,-23.4934639,-46.5745170,sao paulo,SP
02139,-23.4904683,-46.5735302,sao paulo,SP
02141,-23.4889869,-46.5706533,sao paulo,SP
02142,-23.5101987,-46.5767178,sao paulo,SP
02143,-23.5072174,-46.5749671,sao paulo,SP
02144,-23.5036956,-46.5707562,sao paulo,SP
02145,-23.5023573,-46.5662593,sao paulo,SP
02146,-23.5009570,-46.5708823,sao paulo,SP
02147,-23.4983619,-46.5651667,sao paulo,SP
02150,-23.4940347,-46.5686332,sao paulo,SP
02151,-23.4969627,-46.5695526,sao paulo,SP
02152,-23.4973614,-46.5722317,sao paulo,SP
02161,-23.4901652,-46.5692837,sao paulo,SP
02162,-23.4906532,-46.5628308,sao paulo,SP
02166,-23.5252091,-46.5840215,sao paulo,SP
02167,-23.5226958,-46.5816199,sao paulo,SP
02168,-23.5206055,-46.5795034,sao paulo,SP
02169,-23.5495848,-46.6203000,sao paulo,SP
02170,-23.5256443,-46.5770134,sao paulo,SP
02174,-23.5229235,-46.5724247,sao paulo,SP
02175,-23.5158867,-46.5748916,sao paulo,SP
02176,-23.5135989,-46.5730653,sao paulo,SP
02177,-23.5087343,-46.5585299,sao paulo,SP
02178,-23.5216650,-46.5705239,sao paulo,SP
02179,-23.5204101,-46.5682353,sao paulo,SP
02180,-23.5192107,-46.5659557,sao paulo,SP
02181,-23.5186875,-46.5610208,sao paulo,SP
02185,-23.5146992,-46.5674861,sao paulo,SP
02186,-23.5140562,-46.5690601,sao paulo,SP
02187,-23.5158714,-46.5649098,sao paulo,SP
02188,-23.5094662,-46.5669820,sao paulo,SP
02189,-23.5077871,-46.5674677,sao paulo,SP
02190,-23.5071481,-46.5639732,sao paulo,SP
02201,-23.4862289,-46.5920061,sao paulo,SP
02202,-23.4930487,-46.5948155,sao paulo,SP
02203,-23.4918708,-46.5913481,sao paulo,SP
02204,-23.4874113,-46.5921624,sao paulo,SP
02205,-23.4879882,-46.5911943,sao paulo,SP
02206,-23.4846206,-46.5940455,sao paulo,SP
02207,-23.4859855,-46.5881888,sao paulo,SP
02208,-23.4830155,-46.5895186,sao paulo,SP
02209,-23.4851258,-46.5853775,sao paulo,SP
02210,-23.4825599,-46.5821023,sao paulo,SP
02211,-23.4973990,-46.5936054,sao paulo,SP
02212,-23.4956475,-46.5892591,sao paulo,SP
02213,-23.4961663,-46.5881257,sao paulo,SP
02214,-23.4928514,-46.5867982,sao paulo,SP
02215,-23.4907587,-46.5833693,sao paulo,SP
02216,-23.4930579,-46.5797844,sao paulo,SP
02217,-23.4903537,-46.5801757,sao paulo,SP
02218,-23.4867871,-46.5848085,sao paulo,SP
02219,-23.4907767,-46.5859266,sao paulo,SP
02220,-23.4897606,-46.5776765,sao paulo,SP
02221,-23.4815057,-46.5814202,sao paulo,SP
02222,-23.4825555,-46.5755864,sao paulo,SP
02223,-23.4816367,-46.5801670,sao paulo,SP
02224,-23.4845051,-46.5737739,sao paulo,SP
02225,-23.4827223,-46.5751069,sao paulo,SP
02226,-23.4801304,-46.5736219,sao paulo,SP
02227,-23.4787251,-46.5723740,sao paulo,SP
02228,-23.4754956,-46.5715416,sao paulo,SP
02229,-23.4765733,-46.5688203,sao paulo,SP
02230,-23.4837751,-46.5636587,sao paulo,SP
02231,-23.4768757,-46.5652626,sao paulo,SP
02232,-23.4757014,-46.5639725,sao paulo,SP
02233,-23.4776561,-46.5645773,sao paulo,SP
02234,-23.4785387,-46.5695446,sao paulo,SP
02235,-23.4793326,-46.5759404,sao paulo,SP
02236,-23.4726026,-46.5681600,sao paulo,SP
02237,-23.5131206,-46.5864721,sao paulo,SP
02238,-23.4712050,-46.5715833,sao paulo,SP
02239,-23.4853033,-46.6090598,sao paulo,SP
02240,-23.4778856,-46.6022118,sao paulo,SP
02241,-23.4906687,-46.6074393,sao paulo,SP
02242,-23.4876147,-46.6039910,sao paulo,SP
02243,-23.4916185,-46.6038692,sao paulo,SP
02244,-23.4885149,-46.6048662,sao paulo,SP
02245,-23.4847766,-46.6065942,sao paulo,SP
02246,-23.4887119,-46.6016873,sao paulo,SP
02247,-23.4860672,-46.6012417,sao paulo,SP
02248,-23.4831793,-46.5994333,sao paulo,SP
02249,-23.4888756,-46.5970890,sao paulo,SP
02250,-23.4865165,-46.5962163,sao paulo,SP
02251,-23.4775214,-46.5903397,sao paulo,SP
02252,-23.4787442,-46.5883165,sao paulo,SP
02253,-23.4793542,-46.5955003,sao paulo,SP
02254,-23.4812470,-46.5934050,sao paulo,SP
02255,-23.4769006,-46.5919377,sao paulo,SP
02256,-23.4753255,-46.5872141,sao paulo,SP
02257,-23.4728961,-46.5831766,sao paulo,SP
02258,-23.4759832,-46.5819046,sao paulo,SP
02259,-23.4717527,-46.5809647,sao paulo,SP
02260,-23.4691970,-46.5796086,sao paulo,SP
02261,-23.4675051,-46.5772962,sao paulo,SP
02262,-23.4655159,-46.5748288,sao paulo,SP
02263,-23.4634782,-46.5758082,sao paulo,SP
02264,-23.4623358,-46.5765586,sao paulo,SP
02265,-23.4742542,-46.5920254,sao paulo,SP
02266,-23.4771489,-46.5981868,sao paulo,SP
02267,-23.4787370,-46.6007359,sao paulo,SP
02268,-23.4698113,-46.5948894,sao paulo,SP
02269,-23.4720803,-46.5959773,sao paulo,SP
02270,-23.4724876,-46.5930399,sao paulo,SP
02271,-23.4696989,-46.5899602,sao paulo,SP
02272,-23.4692536,-46.5866800,sao paulo,SP
02273,-23.4635138,-46.5862373,sao paulo,SP
02274,-23.4670518,-46.5879208,sao paulo,SP
02275,-23.4657000,-46.5902692,sao paulo,SP
02276,-23.4611931,-46.5840976,sao paulo,SP
02277,-23.4636739,-46.5817826,sao paulo,SP
02278,-23.4627968,-46.5796245,sao paulo,SP
02279,-23.4668735,-46.5800020,sao paulo,SP
02280,-23.4558963,-46.5751616,sao paulo,SP
02281,-23.4519874,-46.5751049,sao paulo,SP
02282,-23.4430666,-46.5677748,sao paulo,SP
02284,-23.4697032,-46.5686827,sao paulo,SP
02286,-23.4085868,-46.5796032,sao paulo,SP
02288,-23.4337256,-46.5708575,sao paulo,SP
02289,-23.4184979,-46.5826877,sao paulo,SP
02290,-23.6004620,-46.6553179,sao paulo,SP
02301,-23.4886639,-46.6150189,sao paulo,SP
02302,-23.4860365,-46.6140108,sao paulo,SP
02303,-23.4820096,-46.6105012,sao paulo,SP
02304,-23.4808237,-46.6054593,sao paulo,SP
02305,-23.4800945,-46.6067652,sao paulo,SP
02306,-23.4633688,-46.6034784,sao paulo,SP
02307,-23.4808905,-46.6072766,sao paulo,SP
02308,-23.4764179,-46.6042104,sao paulo,SP
02309,-23.4756735,-46.6047354,sao paulo,SP
02310,-23.4728147,-46.6007291,sao paulo,SP
02311,-23.4691229,-46.6016795,sao paulo,SP
02312,-23.4648051,-46.5987124,sao paulo,SP
02313,-23.4639554,-46.5998997,sao paulo,SP
02314,-23.4620644,-46.5993477,sao paulo,SP
02315,-23.4599964,-46.5997497,sao paulo,SP
02316,-23.4622658,-46.5938397,sao paulo,SP
02317,-23.4581193,-46.5931675,sao paulo,SP
02318,-23.4508592,-46.5901106,sao paulo,SP
02319,-23.4497214,-46.5933645,sao paulo,SP
02320,-23.4513504,-46.5984236,sao paulo,SP
02321,-23.4472025,-46.5889780,sao paulo,SP
02322,-23.4457055,-46.5936991,sao paulo,SP
02323,-23.4563247,-46.6010965,sao paulo,SP
02324,-23.4779555,-46.5984767,sao paulo,SP
02325,-23.4535368,-46.5860407,sao paulo,SP
02326,-23.4722183,-46.6024734,sao paulo,SP
